model,task,view,sig_norm_d,sig_norm_p,auc_mean,auc_std,n_correct,n_incorrect
olmo3_base,gsm8k,layers_as_path,-0.3769172430038452,0.3108516301987956,0.6444444444444444,0.31739681904634887,5,45
olmo3_base,gsm8k,sequence_as_path_L8,-0.33758145570755005,0.5290745530404577,0.5777777777777778,0.3250830852961732,5,45
olmo3_base,humaneval,layers_as_path,-0.16230738162994385,0.44923917763219995,0.5777777777777777,0.30951973949298045,5,45
olmo3_base,humaneval,sequence_as_path_L8,-0.2538662850856781,0.3592714606656724,0.2888888888888889,0.054433105395181765,5,45
olmo3_base,logiqa,layers_as_path,-0.37150049209594727,0.09500003998894795,0.5041666666666667,0.2527597112977636,12,38
olmo3_base,logiqa,sequence_as_path_L8,0.5751670002937317,0.5778480507371304,0.5291666666666666,0.3194016780995196,12,38
olmo3_sft,gsm8k,layers_as_path,0.23674066364765167,0.8288187050883783,0.5799999999999998,0.10091250335480399,29,21
olmo3_sft,gsm8k,sequence_as_path_L8,-0.0385437086224556,0.6512042794652646,0.47133333333333327,0.15557563362486357,29,21
olmo3_sft,humaneval,layers_as_path,-0.3896915018558502,0.003201369354402261,0.8166666666666668,0.15275252316519464,6,44
olmo3_sft,humaneval,sequence_as_path_L8,-0.43886464834213257,0.35610891905328274,0.586111111111111,0.21808651584878352,6,44
olmo3_rl_zero,gsm8k,layers_as_path,-0.2744258642196655,0.4823151491797022,0.5196428571428571,0.19815797140830102,11,39
olmo3_rl_zero,gsm8k,sequence_as_path_L8,-0.4775691032409668,0.3369556304720355,0.8148809523809524,0.12389534571299443,11,39
olmo3_rl_zero,humaneval,layers_as_path,-0.35514160990715027,0.3871115309856582,0.7133333333333334,0.20639767440550294,21,29
olmo3_rl_zero,humaneval,sequence_as_path_L8,0.08509347587823868,1.0,0.5866666666666667,0.07003967129816897,21,29
