layer,correct_max_lyap,correct_mean_lyap,incorrect_max_lyap,incorrect_mean_lyap,max_lyap_diff,mean_lyap_diff,model,task
0,0.3237808731912011,-0.45605303698425176,0.3563271858130514,-0.46462029717258874,-0.032546312621850315,0.008567260188336978,olmo3_rl_zero,logiqa
1,0.3940046300108924,-0.3718262832375501,0.38757241041086454,-0.37982015722183327,0.0064322196000278775,0.00799387398428314,olmo3_rl_zero,logiqa
2,0.5189939854367319,-0.2788242662858545,0.5109835874995758,-0.27895331083128677,0.008010397937156077,0.0001290445454322775,olmo3_rl_zero,logiqa
3,0.4046282267661004,-0.32167204789610226,0.4060582765861441,-0.31836755559161384,-0.0014300498200436884,-0.0033044923044884267,olmo3_rl_zero,logiqa
4,0.4076632938783452,-0.2787491751761239,0.41360495789161433,-0.272925753424321,-0.005941664013269121,-0.005823421751802893,olmo3_rl_zero,logiqa
5,0.3413881436482222,-0.32056059821536226,0.3444307247970848,-0.31783482606504826,-0.003042581148862633,-0.0027257721503139987,olmo3_rl_zero,logiqa
6,0.717286834887225,-0.22212585755968092,0.6688267729639399,-0.22026226803573956,0.048460061923285114,-0.0018635895239413613,olmo3_rl_zero,logiqa
7,0.4160978764050343,-0.24198571813181932,0.40051291278588613,-0.2507816412274329,0.015584963619148184,0.008795923095613584,olmo3_rl_zero,logiqa
8,0.4494689858123421,-0.1919025472375974,0.4324011596607386,-0.1968007321705211,0.017067826151603516,0.00489818493292371,olmo3_rl_zero,logiqa
9,0.46570474545643287,-0.25698138943663973,0.46682831167044614,-0.26314578878363726,-0.0011235662140132718,0.006164399346997529,olmo3_rl_zero,logiqa
10,0.30548253323993435,-0.28580270865680635,0.30928892717126866,-0.30079735103991867,-0.0038063939313343065,0.014994642383112322,olmo3_rl_zero,logiqa
11,0.2956393188549699,-0.31118161658153126,0.2992895930481324,-0.3214515330578694,-0.003650274193162495,0.010269916476338126,olmo3_rl_zero,logiqa
12,0.25921397966903076,-0.33884828502498565,0.24954944841378313,-0.35125749129228667,0.009664531255247633,0.01240920626730102,olmo3_rl_zero,logiqa
13,0.2802994062003574,-0.34882121965380797,0.2582871311896794,-0.3484611976241993,0.02201227501067804,-0.00036002202960866425,olmo3_rl_zero,logiqa
14,0.9079127050309176,-0.28132905619137466,0.8989975741902865,-0.28622474029318046,0.008915130840631114,0.004895684101805797,olmo3_rl_zero,logiqa
