model,task,method,view,signature_depth,signature_dim,n_projection_dims,norm_d,norm_p,correct_norm_mean,incorrect_norm_mean,auc_mean,auc_std,n_correct,n_incorrect
olmo3_base,gsm8k,random_projection,layers_as_path,3,266304,64,-0.13925477862358093,0.6203988669918696,32.37923812866211,38.29889678955078,0.6332594847681053,0.045438425031259375,63,437
olmo3_base,gsm8k,random_projection,sequence_as_path,3,266304,64,-0.005624384619295597,0.8490904832051552,26321.1171875,26358.083984375,0.7969204645928782,0.027484712103599297,63,437
olmo3_base,gsm8k,velocity_pca,layers_as_path,3,266304,64,-0.12747901678085327,0.8490904832051552,17.67019271850586,20.986103057861328,0.7371794871794872,0.08322023730490986,63,437
olmo3_base,gsm8k,probe_informed_cv,layers_as_path,3,266304,64,-0.3971278440474345,,,,0.6646099590065108,0.07310062149559202,63,437
olmo3_base,humaneval,random_projection,layers_as_path,3,266304,64,0.30378493666648865,3.882039114009324e-09,384.4815368652344,189.76693725585938,0.5457313144329896,0.16812571863686693,19,481
olmo3_base,humaneval,random_projection,sequence_as_path,3,266304,64,1.3842765092849731,9.265172301294681e-09,40209.55078125,12789.263671875,0.35647551546391754,0.2553231732284237,19,481
olmo3_base,humaneval,velocity_pca,layers_as_path,3,266304,64,0.32883769273757935,3.4923879129556613e-09,292.6499328613281,134.18966674804688,0.5136651632302406,0.18730819745484595,19,481
olmo3_base,humaneval,probe_informed_cv,layers_as_path,3,266304,64,0.6207455842143081,,,,0.722632087628866,0.2876205328797688,19,481
olmo3_base,logiqa,random_projection,layers_as_path,3,266304,64,-0.12405841052532196,0.1681836576428576,1487.2698974609375,1644.714599609375,0.5510102841302842,0.06051865947885266,127,373
olmo3_base,logiqa,random_projection,sequence_as_path,3,266304,64,-0.007685267366468906,0.2759910606677348,44218.84375,44272.359375,0.5184601247401247,0.0759862567183109,127,373
olmo3_base,logiqa,velocity_pca,layers_as_path,3,266304,64,-0.11010944843292236,0.12987626438099253,991.3652954101562,1085.18408203125,0.5281868884268885,0.03693339378440259,127,373
olmo3_base,logiqa,probe_informed_cv,layers_as_path,3,266304,64,-0.18166438985868694,,,,0.535000693000693,0.03824837420207239,127,373
olmo3_sft,gsm8k,random_projection,layers_as_path,3,266304,64,-0.3685753643512726,1.554283173715841e-06,25.228906631469727,37.84468460083008,0.548219512195122,0.06606992251116682,297,203
olmo3_sft,gsm8k,random_projection,sequence_as_path,3,266304,64,-0.3127807378768921,0.0002969949746069216,23882.734375,25857.09375,0.5888757062146891,0.041222407136951814,297,203
olmo3_sft,gsm8k,velocity_pca,layers_as_path,3,266304,64,-0.3833482563495636,5.26111438135485e-07,16.638580322265625,26.130390167236328,0.5851837191677001,0.06925723247497065,297,203
olmo3_sft,gsm8k,probe_informed_cv,layers_as_path,3,266304,64,-0.36198092042206553,,,,0.6151669078131459,0.05752734240722178,297,203
olmo3_sft,humaneval,random_projection,layers_as_path,3,266304,64,0.09975751489400864,4.397104120941384e-09,71.64590454101562,53.06768798828125,0.697172149122807,0.2534463594881038,24,476
olmo3_sft,humaneval,random_projection,sequence_as_path,3,266304,64,1.2946813106536865,1.50574292030617e-09,32503.279296875,10778.611328125,0.1520186403508772,0.1878025782767494,24,476
olmo3_sft,humaneval,velocity_pca,layers_as_path,3,266304,64,0.14747214317321777,2.2614379272920246e-09,87.15234375,55.990135192871094,0.7083311403508773,0.16457947480779195,24,476
olmo3_sft,humaneval,probe_informed_cv,layers_as_path,3,266304,64,0.4607499531954213,,,,0.7275252192982457,0.34060038309594526,24,476
olmo3_rl_zero,gsm8k,random_projection,layers_as_path,3,266304,64,-0.0953136682510376,0.7770040372325862,30.136390686035156,33.632808685302734,0.6275747508305648,0.061157096935871305,70,430
olmo3_rl_zero,gsm8k,random_projection,sequence_as_path,3,266304,64,-0.049665406346321106,0.5817433570309851,26427.7578125,26755.939453125,0.7219269102990034,0.04170527050594015,70,430
olmo3_rl_zero,gsm8k,velocity_pca,layers_as_path,3,266304,64,-0.1145646721124649,0.7249033821857477,15.439413070678711,17.91814613342285,0.6945182724252492,0.04137313226664465,70,430
olmo3_rl_zero,gsm8k,probe_informed_cv,layers_as_path,3,266304,64,-0.34338158796426704,,,,0.7289036544850498,0.06664753241743905,70,430
olmo3_rl_zero,humaneval,random_projection,layers_as_path,3,266304,64,0.7145954966545105,2.0444227440049905e-33,529.4179077148438,125.63394927978516,0.5616900341038272,0.23443971494165125,67,433
olmo3_rl_zero,humaneval,random_projection,sequence_as_path,3,266304,64,1.8934533596038818,1.1329178161903103e-34,42560.765625,9587.287109375,0.3764557281798661,0.19986111236505505,67,433
olmo3_rl_zero,humaneval,velocity_pca,layers_as_path,3,266304,64,0.693874180316925,9.742066527401513e-34,379.3028869628906,87.0632095336914,0.7169382341796136,0.12524924918113015,67,433
olmo3_rl_zero,humaneval,probe_informed_cv,layers_as_path,3,266304,64,0.9766847272972847,,,,0.8446002273588482,0.20665740912105982,67,433
olmo3_think,gsm8k,random_projection,layers_as_path,3,266304,64,-0.1595550775527954,0.001033265819386477,25.196439743041992,30.2674560546875,0.5472220470786044,0.042093568871464766,197,303
olmo3_think,gsm8k,random_projection,sequence_as_path,3,266304,64,-0.17101004719734192,0.034097684256166945,24617.490234375,25744.998046875,0.5590281630937369,0.05439703750435387,197,303
olmo3_think,gsm8k,velocity_pca,layers_as_path,3,266304,64,-0.16818615794181824,0.00048468115920053686,16.351638793945312,20.15666961669922,0.5717596679277007,0.055027897756376114,197,303
olmo3_think,gsm8k,probe_informed_cv,layers_as_path,3,266304,64,-0.19744124071255084,,,,0.5778807271963009,0.07458972875500883,197,303
olmo3_think,humaneval,random_projection,layers_as_path,3,266304,64,0.23291175067424774,5.317888463788313e-11,87.14839172363281,47.59144973754883,0.632421052631579,0.186344214305103,25,475
olmo3_think,humaneval,random_projection,sequence_as_path,3,266304,64,1.5143470764160156,1.6406093287355182e-12,36535.375,10785.7431640625,0.3069473684210527,0.19342499816956835,25,475
olmo3_think,humaneval,velocity_pca,layers_as_path,3,266304,64,0.17070506513118744,6.237647228586534e-11,81.1268539428711,49.313350677490234,0.7103157894736842,0.11000357586733764,25,475
olmo3_think,humaneval,probe_informed_cv,layers_as_path,3,266304,64,0.45436362653827556,,,,0.8214736842105264,0.2581001115653143,25,475
