model,method,train_task,test_task,transfer_auc
olmo3_base,random_projection,gsm8k,humaneval,0.21851406061932377
olmo3_base,random_projection,humaneval,gsm8k,0.5120046493044206
olmo3_base,random_projection,gsm8k,logiqa,0.5104072111629478
olmo3_base,random_projection,logiqa,gsm8k,0.5004177109440267
olmo3_base,random_projection,humaneval,logiqa,0.5118743535074203
olmo3_base,random_projection,logiqa,humaneval,0.43177590546011596
olmo3_sft,random_projection,gsm8k,humaneval,0.3392857142857143
olmo3_sft,random_projection,humaneval,gsm8k,0.4997263273125342
olmo3_rl_zero,random_projection,gsm8k,humaneval,0.3001964771983041
olmo3_rl_zero,random_projection,humaneval,gsm8k,0.530797342192691
olmo3_think,random_projection,gsm8k,humaneval,0.2784842105263158
olmo3_think,random_projection,humaneval,gsm8k,0.512824378884589
olmo3_base,velocity_pca,gsm8k,humaneval,0.2527628843418317
olmo3_base,velocity_pca,humaneval,gsm8k,0.5083723802259271
olmo3_base,velocity_pca,gsm8k,logiqa,0.5328154356040615
olmo3_base,velocity_pca,logiqa,gsm8k,0.5745523228360757
olmo3_base,velocity_pca,humaneval,logiqa,0.5275590551181102
olmo3_base,velocity_pca,logiqa,humaneval,0.31743079111500166
olmo3_sft,velocity_pca,gsm8k,humaneval,0.20168067226890757
olmo3_sft,velocity_pca,humaneval,gsm8k,0.3825114859597618
olmo3_rl_zero,velocity_pca,gsm8k,humaneval,0.314484161180242
olmo3_rl_zero,velocity_pca,humaneval,gsm8k,0.5045847176079734
olmo3_think,velocity_pca,gsm8k,humaneval,0.18753684210526317
olmo3_think,velocity_pca,humaneval,gsm8k,0.4451089779028664
olmo3_base,probe_informed_cv,gsm8k,humaneval,0.8375095743516796
olmo3_base,probe_informed_cv,humaneval,gsm8k,0.6644873052195706
olmo3_base,probe_informed_cv,gsm8k,logiqa,0.6109011842688565
olmo3_base,probe_informed_cv,logiqa,gsm8k,0.6750935309287711
olmo3_base,probe_informed_cv,humaneval,logiqa,0.5537565177007029
olmo3_base,probe_informed_cv,logiqa,humaneval,0.8417769996717366
olmo3_sft,probe_informed_cv,gsm8k,humaneval,0.4885329131652661
olmo3_sft,probe_informed_cv,humaneval,gsm8k,0.5265296644606989
olmo3_rl_zero,probe_informed_cv,gsm8k,humaneval,0.8911447382027506
olmo3_rl_zero,probe_informed_cv,humaneval,gsm8k,0.680265780730897
olmo3_think,probe_informed_cv,gsm8k,humaneval,0.5457684210526316
olmo3_think,probe_informed_cv,humaneval,gsm8k,0.5678913068971871
